Ed Pednault, - 
Neela Khan, + 
Bir Bhanu, + 
Arlindo Oliveira, - 
Irina Tchoumatchenko, - 
Robert C. Holte, + 
Michele Sebag, + 
Jorg-Uwe Kietz, + 
Yoshifumi Sakai, + 
Thomas E. Kammeyer, - 
Yoav Freund, + 
R. Andrew McCallum, - 
Jonathan Gratch, + 
Margo Guertin, + 
Huw Roberts, + 
Sally Goldman, + 
Bhaskar Dasgupta, - 
Fernando Pereira, + 
Nina Mishra, + 
Wray Buntine, - 
William A. Greene, + 
Yolanda Gil, + 
Chris Drummond, - 
Claude Sammut, - 
Charles X. Ling, - 
Sanjay Jain, + 
Stefan Kramer, - 
Cristina Baroglio, - 
Dwight Schrute, + 
Leslie Pack Kaelbling, + 
Philip Chan, - 
Yishay Mansour, + 
Michael I. Jordan, + 
Patrick M. Murphy, + 
Karsten Verbeurgt, + 
Attilio Giordana, - 
Gerald F. DeJong, + 
Thomas Zeugmann, - 
Mandayam T. Suraj, + 
Michael Littman, + 
Shaul Markovitch, - 
Eric Allender, - 
Cullen Schaffer, + 
Roberto Piola, + 
Nader Bshouty, + 
Bruce A. MacDonald, - 
Kamal M. Ali, + 
Foster J. Provost, + 
Wolfgang Janko, + 
Seth Flanders, + 
Peter Bartlett, + 
Craig Knoblock, - 
Earl S. Harris Jr., + 
Prasad Tadepalli, - 
Stan Matwin, - 
Pascal Koiran, + 
Sandra Panizza, + 
George Berg, + 
Stephen Kwek, - 
J. R. Quinlan, - 
Sebastian Seung, + 
Susan L. Epstein, + 
Priscilla Rasmussen, - 
Steven Minton, - 
Lance Riley, + 
Jose L. Balcazar, + 
William Sakas, + 
Claudio Facchinetti, - 
Vijay Raghavan, + 
Bob Evans, + 
Neil Berkman, + 
Masayuki Inaba, + 
Shai Ben-David, - 
Dan Roth, + 
Lisa Hellerstein, + 
Geoffrey Gordon, + 
Paul Vitanyi, + 
Anselm Blumer, - 
Jeff Jackson, + 
Steven W. Norton, - 
R. Bharat Rao, - 
Matthias Heger, + 
Nicolo Cesa-Bianchi, + 
David Montgomery, + 
Patricia J. Riddle, + 
J. Jeffrey Mahoney, - 
Kazushi Ikeda, + 
Thomas G. Dietterich, - 
Pang-Chieh Chen, + 
Paul Utgoff, + 
Joseph O'Sullivan, + 
Toshiyasu Matsushima, + 
Timothy P. Barber, + 
Phil Long, - 
Tal Grossman, + 
Donna Slonim, + 
Tatsuo Unemi, + 
Krishnan Pillaipakkamnatt, - 
Lorenza Saitta, + 
Usama Fayyad, - 
Jude Shavlik, + 
David Helmbold, + 
Grigoris Karakoulas, - 
Tom Hancock, + 
Drago Indjic, - 
Gary Weiss, + 
Frank Stephan, - 
Kenji Yamanishi, + 
Wan P. Chiang, + 
Yoram Singer, + 
Melinda T. Gervasio, + 
Kate Goelz, + 
Roni Khardon, + 
Nikolay Nikolaev, + 
George H. John, + 
Diana Gordon, + 
Claire Cardie, - 
Moshe Koppel, + 
Andy Bernard, + 
Marcos Salganicoff, + 
David W. Opitz, + 
Mark Changizi, + 
Lars Asker, + 
Dana Ron, + 
Andrey Burago, - 
Eddy Mayoraz, - 
Mark Schwabacher, + 
Carl H. Smith, + 
Wee Sun Lee, + 
Mario Marchand, + 
David Pierce, + 
Dan Oblinger, + 
Lyle H. Ungar, - 
Hiroshi Tanaka, + 
Johanne Morin, + 
Thomas Wengerek, - 
Mark W. Craven, + 
Tom Fawcett, + 
John R. Rose, + 
Richard A. Caruana, + 
Steven Salzberg, - 
Barak A. Pearlmutter, + 
Chris Darken, - 
Judy A. Franklin, + 
Xuemei Wang, + 
Nitin Indurkhya, + 
Oded Maron, - 
Takefumi Yamazaki, + 
Satinder Pal Singh, + 
Ron Kohavi, + 
Michael de la Maza, + 
Robert Sloan, + 
Chun-Nan Hsu, - 
Daniel Kortenkamp, + 
Ricard Gavalda, + 
Joe Suzuki, + 
James S. Royer, + 
Jyrki Kivinen, - 
Tapio Elomaa, + 
Michael Redmond, + 
Rich Maclin, + 
Jiarong Hong, + 
Janusz Wnek, + 
David B. Skalak, + 
Daniel Hennessy, + 
David Cohn, + 
Merrick L. Furst, + 
Lindley Darden, + 
Steve A. Chien, - 
Wai Lam, + 
Paul W. Goldberg, + 
Stephen Muggleton, - 
Jason Catlett, + 
Justinian Rosca, + 
Sreerama K. Murthy, - 
Richard S. Sutton, + 
Michael W. Barley, + 
Leslie Grate, + 
Nathalie Japkowicz, + 
Randolph Jones, + 
John Rachlin, + 
Moshe Leshno, + 
Emanuel Knill, - 
Sholom Weiss, - 
Darko Zupanic, + 
Thomas G. Spalthoff, - 
Michael Kearns, + 
Holly Yanco, + 
Olivier De Vel, - 
Tom Bylander, + 
Johannes Furnkranz, + 
Pat Langley, + 
Javed Aslam, + 
Jean Gabriel Ganascia, + 
Sean Slattery, + 
Michael A. meystel, + 
Brian D. Davidson, - 
David Gillman, + 
Matevz Kovacic, + 
Bala Kalyanasundaram, + 
Martin Kummer, + 
Manfred Warmuth, + 
David Mathias, + 
Brian Tester, - 
Nicolas Fiechter, + 
Aurora Perez, + 
Michael Scott, - 
Naoki Abe,+ 
Kimmen Sjolander, + 
Jeffery Clouse, + 
Robert P. Daley, + 
William Gasarch, + 
Reinhard Blasig, + 
Malini Bhandaru, + 
Robert Schapire, + 
Gary M. Selzer, + 
Clare Bates Congdon, - 
Martinch Krikis, + 
John Case, + 
Lance Fortnow, + 
Lorien Y. Pratt, + 
Klaus P. Jantke, - 
Haralabos Athanassiou, + 
Bradley L. Whitehall, - 
Sridhar Mahadevan, - 
Craig Nevill-Manning, - 
Paul Fischer, + 
Hal Duncan, + 
Von-Wun Soo, + 
Bill Byrne, + 
Myriam Abramson, - 
Creed Bratton, + 
Minoru Asada, + 
Tom M. Mitchell, + 
Jean-Daniel Zucker, + 
Sonya Snedecor, + 
Glenn Silverstein, - 
Avrim Blum, - 
Scott E. Decatur, - 
Dana Angluin, + 
Wolfgang Maass, + 
Chidanand Apte, - 
Marko Grobelnik, + 
Mary Soon Lee, + 
Zhixiang Chen, - 
Mona Singh, + 
Justin Boyan, + 
Daniel L. Silver, + 
David W. Aha, + 
Robert S. Roos, + 
David Loewenstern, + 
Eric Baum, - 
John M. Zelle, + 
Arun Sharma, - 
Ronitt Rubinfeld, + 
Thomas Ellman, - 
Aaron Feigelson, + 
Harris Drucker, + 
Carla E. Brodley, + 
Alexander M. Meystel, - 
Maja Mataric, + 
Leonard Pitt, + 
Eyal Kushilevitz, - 
Long-Ji Lin, + 
Ameur Foued, - 
Antoine Cornuejols, - 
Welton Becket, + 
Haym Hirsh, + 
Hiroshi Motoda, + 
John Fischer, + 
George A. Drastal, + 
William Cohen, + 
Jing Peng, + 
Alma Whitten, - 
David Haussler, + 
Joel Ratsaby, + 
L. Thorne McCarty, - 
Chen K. Tham, - 
Kan Deng, + 
Russell Greiner, + 
Steffen Lange, - 
Andrew W. Moore, - 
Armand Prieditis, - 
Dunja Mladenic, + 
Jong-Hoon Oh, + 
Ken Lang, + 
Bernhard Pfahringer, + 
Ronald L. Rivest, + 
Robert Williamson, + 
Stuart Russell, - 
Andrew Y. Ng, - 
Efim Kinber, - 
David Finton, + 
Mark Staley, + 
Filippo Neri, + 
Jonathan Hodgson, + 
Dennis F. Kibler, + 
Michael J. Donahue, + 